gene	13-IC	13-N	16-M	16-N	1-IC	1-N	1-IF	20-IC	20-M	20-IF	22-IC	22-N	22-IF	23-N	26-M	26-IF	28-M	28-N	2-IC	44-IC	44-M	44-N	44-IF	47-IC	47-N	47-IF	54-IC	54-N	54-IF	56-IC	56-M	56-N	56-IF	58-IC	58-N	58-IF	59-IC	59-N	59-IF	61-IC	61-IF	63-IC	63-N	63-IF	64-IC	64-M-2	64-M	64-N	64-IF	65-IC	65-N	65-IF	69-M	69-N	69-IF	6-IC	6-N	6-IF
ENSG00000139364	0.263034	0.871844	0.526069	1.077243	0.575312	0.823749	0.847997	0.137504	0.097611	0.895303	0.042644	0.799087	0.367371	1.9855	0.807355	0.464668	0.097611	0.713696	1.627607	0.056584	0.575312	0.9855	0.084064	0.739848	0.687061	0.765535	0.070389	0.918386	0.15056	0.422233	0.344828	1.014355	0.941106	0.014355	0.454176	0.014355	0.815575	0.344828	1.627607	0.62293	0.201634	0.275007	1.367371	0.400538	0.333424	0.321928	0.097611	0.432959	0	0.238787	1.207893	0.475085	0.111031	0.333424	0.097611	1.007196	0.807355	0.275007
ENSG00000183317	1.226509	0	0.028569	0.189034	0.070389	0	0	0.613532	0.226509	0	0.389567	0.176323	0	0.516015	0	0.321928	0	0.028569	0	0	0	0	0.238787	0.028569	0	0.250962	0.097611	0.948601	0.124328	0.014355	0.070389	0.443607	0.189034	0	0.367371	0.014355	0	0.070389	0	0.163499	0	0	0.731183	0	0.124328	0	0.948601	0	0.070389	0.15056	0.15056	0.422233	0	0.137504	0.028569	0.028569	0.15056	0.443607
ENSG00000175376	4.404631	3.371559	4.64501	4.015248	4.719183	3.163499	4.500802	3.921246	4.100137	4.263034	3.285402	3.641546	3.589763	4.180307	4.189034	3.329124	4.020591	3.643856	5.115616	4.236493	3.536053	4.138323	4.237258	3.830864	4.012569	3.480265	3.78136	4	3.320485	4.314697	4.769772	3.751678	3.979111	3.75809	3.333424	3.745237	4.332708	3.707083	4.348374	3.607626	3.798051	3.961623	4.055716	4.226509	3.702658	3.465974	3.833902	3.836934	3.708187	3.68818	3.968091	3.89724	3.991862	3.469886	4.050502	3.72792	3.803227	3.792855
ENSG00000075223	5.383359	4.578335	6.513175	3.902074	5.8107	3.999098	5.950468	7.01078	5.373648	6.703765	5.200065	2.301588	5.264161	2.565597	5.77215	3.990955	6.864434	3.258519	6.724377	6.187847	5.91767	2.482848	6.686921	5.308157	1.49057	5.143638	5.91576	3.744161	5.405992	6.664909	6.411426	3.106013	5.565902	5.177121	4.244126	4.807355	6.91576	2.599318	6.870981	5.076388	5.185074	6.30305	3.329124	6.142822	5.797013	6.212375	5.175125	5.288359	4.65019	3.983678	3.397803	4.408712	6.706669	4.31252	5.159064	4.573496	2.347666	4.862451
ENSG00000127526	4.185074	3.777157	4.040016	4.086614	4.185074	2.967169	4.144862	4.487358	4.437627	4.733897	4.666188	3.944858	4.551516	4.406673	4.769243	3.132577	4.221877	3.676944	5.068241	4.175525	4.119356	3.849999	4.294988	3.552131	3.477677	3.608809	3.979111	3.464668	4.085765	4.537917	4.424922	3.987321	4.385431	4.228819	3.874797	4.316146	4.683696	4.095924	4.578335	3.996389	4.352617	4.798569	3.879706	4.817623	4.495695	4.250962	4.449561	4.061776	4.778209	4.725196	4.130931	4.800641	4.475085	3.918386	4.540399	3.85599	3.771886	3.529821
ENSG00000141068	3.979111	5.015694	4.225738	4.135042	4.491853	4.186659	4.106851	4.247928	3.92505	4.242603	2.933573	4.389567	4.549053	5.089159	4.841973	3.979111	4.329124	4.482848	3.261531	4.051372	4.557655	4.900625	4.446256	4.517906	4.148934	4.100978	3.679199	4.386811	3.390943	4.231125	4.482203	4.595146	5.001352	3.95977	4.777683	3.411426	3.993674	5.22149	4.752749	3.783457	3.553361	3.382667	4.574102	3.203201	4.266037	4.522307	4.580748	3.910733	4.259272	4.178715	4.488001	3.885574	3.190615	4.230357	3.393691	4.570463	5.356848	4.28244
ENSG00000284797	0.111031	0	0.163499	0	0	0.176323	0	0	0	0	0.15056	0	0	0	0	0.454176	0	1.541019	0	0	0	0.516015	0	0	1.063503	0	0	0.545968	0.250962	0	0	0.367371	0	0.214125	0.356144	0	0	1.350497	0	0	0.189034	0	0.422233	0	0	0	0.516015	0	0	0	0.014355	0	0	0	0.286881	0	1.084064	0.263034
ENSG00000176009	0	0	0.250962	0	0	0	0	0	0	0.298658	0	0	0	0.238787	0	0	0	1.550901	0.516015	0.275007	0	0	0	0	0	0	0	0.516015	0	0	0	0	0.226509	0.201634	0	0	0	0	0	0.201634	0	0	0.238787	0	0	0.286881	0	0.641546	0.475085	0.214125	0	0.201634	0	0	0	0	0	0.250962
ENSG00000110057	3.952334	3.58376	3.904966	2.659925	4.495056	1.937344	3.952334	3.989139	4.135863	4.008092	2.998196	3.160275	4.510962	3.107688	4.383359	2.327687	3.929791	3.713696	3.286881	4.176323	3.65764	2.946731	4.198494	2.744161	2.671293	1.867896	3.085765	2.680324	2.505891	3.928844	6.472488	2.704872	4.412782	3.111031	3.130931	3.64039	4.543496	3.838952	4.505256	4.190615	3.495695	3.092546	3.033863	3.258519	3.709291	4.474436	3.82069	3.125982	4.014355	3.360364	3.273516	3.365972	3.707083	3.82171	3.033863	2.992768	3.570463	3.173127
ENSG00000236125	0.15056	0.344828	0.084064	0.097611	0	0.111031	0.226509	0	0.176323	0	0	0.028569	0	0	0.070389	0	0.084064	0.084064	0.124328	0	0	0.056584	0	0.028569	0.084064	0.111031	0	0.042644	0.084064	0.070389	0.028569	0	0.124328	0	0.163499	0	0	0	0.275007	0.163499	0.111031	0	0.432959	0	0	0	0.097611	0.214125	0.084064	0.070389	0.495695	0	0	0	0	0	0	0
